resume_text,mapped_category,skills_list,experience_years,Cleaned_Resume
information technology summary dedicated information assurance professional well versed in analyzing and mitigating risk and finding cost effective solutions excels at boosting performance and productivity by establishing realistic goals and enforcing deadlines versatile it professional with years of enterprise design and engineering methodology skills enterprise platforms knowledge of product lifecycle management plm project tracking hardware and software upgrade planning product requirements documentation self directed ms visio decisive collaborative domain active directory layout data storage engineering information assurance risk management framework rmf active directory design and deployment workstation build and deployment systems accreditation packages red hat enterprise linux installation and hardening network design troubleshooting high performance computing experience company name city state information technology to current i was hired to manage accreditation efforts for a major department modernization project involving accreditation packages each leading to successful authorization to operate decisions responsibilities then increased to include all departmental accreditation efforts leading to another successful atos now working on new accreditation including re authorization for an existing project succeeded in writing and implementing vulnerability management for existing accredited systems success of the accreditation hinged on coordination with oni enterprise in critical design decisions and to help the program integrate smoothly into the enterprise thru many meetings analyzing the enterprise business model to understand the best fit for the program the different projects required careful management of specific stig compliance and hardening for the different configurations and services required for the specific domain to be integrated analyzed complex computer systems to assess vulnerability and risk supervised external computer consultants and vendors managed application patches data backup security changes and network configuration company name city state systems engineer to i was hired to initiate processing strategies in fulfilling department analyst requirements requirements were fulfilled thru i dentifying product problems and strengths and collected data on customer experience and review of enterprise compliance to transition to new technology for supporting new processing needs thru proper processing power the next challenge came as storage requirements for better performance and more controlled uses after careful study of local infrastructure design a local storage with off the shelf solutions was adopted to grow local storage to over tb in using this solution the department saved just over a million dollars in purchasing and maintenance costs compared to the alternative next came requirements to improve processing of future big data formats fulfilled in a red hat linux high compute cluster i designed purchased and accredited for operation in the enterprise improvement on big data analytical processing reduced time from hours to minutes as well as allow for more robust data thru higher selections of sensors frequencies and range than allowed thru the traditional process company name city state senior systems analyst to i was hired to improve corporate and client communications and processing requirements which resulted in the design build and deployment of enterprise network solutions one solution resulted in expanding capabilities to supporting washington navy yard norfolk virginia and hawaii support facilities fulfilled requirements for detecting crucial network software hardware weaknesses and developing preventive strategies and solutions for avoiding interruptions and increasing system security thru documenting system layouts wiring diagrams and addressing schema to understand layouts and make informed solutions to upper management education and training associate of science electronic engineering florence darlington technical school city state electronic engineering dean s list for high gpa class president for second year skills active directory hardware engineering information technology red hat enterprise linux servers ms windows servers ms windows desktop network design troubleshooting architectural diagrams accreditation boundarys risk management enterprise strategies vendor relations desktop publishing software photoshop illustrator html team work collaboration,Software Developer,information technology summary dedicated information assurance professional well versed in analyzing and mitigating risk and finding cost effective solutions excels at boosting performance and productivity by establishing realistic goals and enforcing deadlines versatile it professional with years of enterprise design and engineering methodology skills enterprise platforms knowledge of product lifecycle management plm project tracking hardware and software upgrade planning product requirements documentation self directed ms visio decisive collaborative domain active directory layout data storage engineering information assurance risk management framework rmf active directory design and deployment workstation build and deployment systems accreditation packages red hat enterprise linux installation and hardening network design troubleshooting high performance computing experience company name city state information technology to current i was hired to manage accreditation efforts for a major department modernization project involving accreditation packages each leading to successful authorization to operate decisions responsibilities then increased to include all departmental accreditation efforts leading to another successful atos now working on new accreditation including re authorization for an existing project succeeded in writing and implementing vulnerability management for existing accredited systems success of the accreditation hinged on coordination with oni enterprise in critical design decisions and to help the program integrate smoothly into the enterprise thru many meetings analyzing the enterprise business model to understand the best fit for the program the different projects required careful management of specific stig compliance and hardening for the different configurations and services required for the specific domain to be integrated analyzed complex computer systems to assess vulnerability and risk supervised external computer consultants and vendors managed application patches data backup security changes and network configuration company name city state systems engineer to i was hired to initiate processing strategies in fulfilling department analyst requirements requirements were fulfilled thru i dentifying product problems and strengths and collected data on customer experience and review of enterprise compliance to transition to new technology for supporting new processing needs thru proper processing power the next challenge came as storage requirements for better performance and more controlled uses after careful study of local infrastructure design a local storage with off the shelf solutions was adopted to grow local storage to over tb in using this solution the department saved just over a million dollars in purchasing and maintenance costs compared to the alternative next came requirements to improve processing of future big data formats fulfilled in a red hat linux high compute cluster i designed purchased and accredited for operation in the enterprise improvement on big data analytical processing reduced time from hours to minutes as well as allow for more robust data thru higher selections of sensors frequencies and range than allowed thru the traditional process company name city state senior systems analyst to i was hired to improve corporate and client communications and processing requirements which resulted in the design build and deployment of enterprise network solutions one solution resulted in expanding capabilities to supporting washington navy yard norfolk virginia and hawaii support facilities fulfilled requirements for detecting crucial network software hardware weaknesses and developing preventive strategies and solutions for avoiding interruptions and increasing system security thru documenting system layouts wiring diagrams and addressing schema to understand layouts and make informed solutions to upper management education and training associate of science electronic engineering florence darlington technical school city state electronic engineering dean s list for high gpa class president for second year skills active directory hardware engineering information technology red hat enterprise linux servers ms windows servers ms windows desktop network design troubleshooting architectural diagrams accreditation boundarys risk management enterprise strategies vendor relations desktop publishing software photoshop illustrator html team work collaboration,37.0,information technology summary dedicated information assurance professional well versed analyzing mitigating risk finding cost effective solution excels boosting performance productivity establishing realistic goal enforcing deadline versatile professional year enterprise design engineering methodology skill enterprise platform knowledge product lifecycle management plm project tracking hardware software upgrade planning product requirement documentation self directed m visio decisive collaborative domain active directory layout data storage engineering information assurance risk management framework rmf active directory design deployment workstation build deployment system accreditation package red hat enterprise linux installation hardening network design troubleshooting high performance computing experience company name city state information technology current hired manage accreditation effort major department modernization project involving accreditation package leading successful authorization operate decision responsibility increased include departmental accreditation effort leading another successful atos working new accreditation including authorization existing project succeeded writing implementing vulnerability management existing accredited system success accreditation hinged coordination oni enterprise critical design decision help program integrate smoothly enterprise thru many meeting analyzing enterprise business model understand best fit program different project required careful management specific stig compliance hardening different configuration service required specific domain integrated analyzed complex computer system assess vulnerability risk supervised external computer consultant vendor managed application patch data backup security change network configuration company name city state system engineer hired initiate processing strategy fulfilling department analyst requirement requirement fulfilled thru dentifying product problem strength collected data customer experience review enterprise compliance transition new technology supporting new processing need thru proper processing power next challenge came storage requirement better performance controlled us careful study local infrastructure design local storage shelf solution adopted grow local storage tb using solution department saved million dollar purchasing maintenance cost compared alternative next came requirement improve processing future big data format fulfilled red hat linux high compute cluster designed purchased accredited operation enterprise improvement big data analytical processing reduced time hour minute well allow robust data thru higher selection sensor frequency range allowed thru traditional process company name city state senior system analyst hired improve corporate client communication processing requirement resulted design build deployment enterprise network solution one solution resulted expanding capability supporting washington navy yard norfolk virginia hawaii support facility fulfilled requirement detecting crucial network software hardware weakness developing preventive strategy solution avoiding interruption increasing system security thru documenting system layout wiring diagram addressing schema understand layout make informed solution upper management education training associate science electronic engineering florence darlington technical school city state electronic engineering dean list high gpa class president second year skill active directory hardware engineering information technology red hat enterprise linux server m window server m window desktop network design troubleshooting architectural diagram accreditation boundary risk management enterprise strategy vendor relation desktop publishing software photoshop illustrator html team work collaboration
information technology specialist gs experience to current information technology specialist gs company name city state information technology specialist supervison project management circuit management licensed electrician alarm management alarm technician training supply quality assurance kevin l trostle dsn comm manage the assigned it communications environment with privileged access at the network level for the wing geographically separated units gsu and tenants plan coordinate install and continuously analyze system design hardware and software develop recommend and install solutions and upgrades to ensure availability integrity efficiency and reliability of all components of the assigned system ensure all performed work is captured in the remedy ticketing system manage telecommunications and nipr networks for the wing gsu s and tenant units continually plan install and analyze new hardware software and processes to ensure networks are reliable and efficient serve as a focal point for ensuring functionality and operability of the assigned it data systems functions voice and wireless systems to support mission requirements optimize analyze manage and direct installation of any new hardware or software introduced into the environment to ensure its compatibility with existing architecture its reliability and functionality in relation to the organization s business requirements oversee and initiate corrective or preventative measures to rectify immediate problems and prevent future occurrences through the cfp troubleshoot and diagnose system failures to isolate source of problems provide customer technical assistance support for all users provide management with information necessary to address difficult complex problems review purchase requests sow s ensuring documentation is sufficient to justify enhancements to keep systems current work with the cfp customers to resolve integration or configuration related issues ensure upgrades to the base it infrastructure are identified assist customers in developing submitting recommendations for equipment and funds assist personnel in planning developing new or additional infrastructure architecture capabilities coordinate efforts between system customers support personnel commercial vendors to identify resolve system anomalies conduct feasibility studies to identify and analyze system failures and analyzes data to determine if trends exist which forecast the need for future replacement or modification of system hardware and software as budget constraints dictate evaluates alternative means of satisfying user requirements and provides management with the most technically feasible and cost efficient approaches to meet changing needs keep abreast of changes in technology to assist management in preparing for future enhancements to current cyber transport client systems workcenter supervisor company name city state kevin l trostle dsn comm manage cyber transport client systems work center personnel set and adjust work priorities evaluate and counsel subordinates document training of personnel using computer based training system tba sustain and operate systems through effective troubleshooting repair pmi s system performance testing analysis systems include network infrastructure equipment cabling voice systems video systems small computers and printers maintain close working relationship with communications focal point production requirements remedy tickets to f ejection system technician company name city state ronald buckman comm troubleshot removed tested inspected repaired modified and installed explosive and non explosive components and assemblies on ejection systems performed preventative maintenance on over ninety different electronically fired explosive devices ensuring proper wiring and termination foreign object damage monitor briefed wing commander monthly on findings ran entire supply system ensuring all parts and supplies were readily available hazardous materials monitor explosive inspector ensured proper grounding points were present in shop to prevent electrostatic discharge to explosive components section workgroup manager in charge of maintaining computers and ensured needed software was installed shop computer security monitor trained and supervised personnel quality assurance assessor education and training jun hs diploma general studies brockport high school city state general studies may bs degree electrical engineering university of tn city state electrical engineering november usaf electronic principles june to august usaf telephone systems apprentice course september to december usaf aircrew egress systems apprentice course numerous certificates for web based training on lan fundamentals routers topologies cisco networking etc interests while stationed in south carolina performed three years of volunteer electrical work for habitat for humanity while doing this work i learned the fundamentals of wiring a house for electric cable and telephone skills budget cabling cisco hardware client documentation electrician feasibility studies funds information technology inspector lan materials access network networking networks personnel telephone systems printers processes project management quality assurance routers system design technical assistance technician telecommunications troubleshoot troubleshooting upgrades video wiring additional information awards superior performer nd quarter usaf achievement medal june humanitarian service medal january crs maintenance professional of the year airman of the quarter may airman of the month march airman of the month february other information while stationed in south carolina performed three years of volunteer electrical work for habitat for humanity while doing this work i learned the fundamentals of wiring a house for electric cable and telephone,Software Developer,information technology specialist gs experience to current information technology specialist gs company name city state information technology specialist supervison project management circuit management licensed electrician alarm management alarm technician training supply quality assurance kevin l trostle dsn comm manage the assigned it communications environment with privileged access at the network level for the wing geographically separated units gsu and tenants plan coordinate install and continuously analyze system design hardware and software develop recommend and install solutions and upgrades to ensure availability integrity efficiency and reliability of all components of the assigned system ensure all performed work is captured in the remedy ticketing system manage telecommunications and nipr networks for the wing gsu s and tenant units continually plan install and analyze new hardware software and processes to ensure networks are reliable and efficient serve as a focal point for ensuring functionality and operability of the assigned it data systems functions voice and wireless systems to support mission requirements optimize analyze manage and direct installation of any new hardware or software introduced into the environment to ensure its compatibility with existing architecture its reliability and functionality in relation to the organization s business requirements oversee and initiate corrective or preventative measures to rectify immediate problems and prevent future occurrences through the cfp troubleshoot and diagnose system failures to isolate source of problems provide customer technical assistance support for all users provide management with information necessary to address difficult complex problems review purchase requests sow s ensuring documentation is sufficient to justify enhancements to keep systems current work with the cfp customers to resolve integration or configuration related issues ensure upgrades to the base it infrastructure are identified assist customers in developing submitting recommendations for equipment and funds assist personnel in planning developing new or additional infrastructure architecture capabilities coordinate efforts between system customers support personnel commercial vendors to identify resolve system anomalies conduct feasibility studies to identify and analyze system failures and analyzes data to determine if trends exist which forecast the need for future replacement or modification of system hardware and software as budget constraints dictate evaluates alternative means of satisfying user requirements and provides management with the most technically feasible and cost efficient approaches to meet changing needs keep abreast of changes in technology to assist management in preparing for future enhancements to current cyber transport client systems workcenter supervisor company name city state kevin l trostle dsn comm manage cyber transport client systems work center personnel set and adjust work priorities evaluate and counsel subordinates document training of personnel using computer based training system tba sustain and operate systems through effective troubleshooting repair pmi s system performance testing analysis systems include network infrastructure equipment cabling voice systems video systems small computers and printers maintain close working relationship with communications focal point production requirements remedy tickets to f ejection system technician company name city state ronald buckman comm troubleshot removed tested inspected repaired modified and installed explosive and non explosive components and assemblies on ejection systems performed preventative maintenance on over ninety different electronically fired explosive devices ensuring proper wiring and termination foreign object damage monitor briefed wing commander monthly on findings ran entire supply system ensuring all parts and supplies were readily available hazardous materials monitor explosive inspector ensured proper grounding points were present in shop to prevent electrostatic discharge to explosive components section workgroup manager in charge of maintaining computers and ensured needed software was installed shop computer security monitor trained and supervised personnel quality assurance assessor education and training jun hs diploma general studies brockport high school city state general studies may bs degree electrical engineering university of tn city state electrical engineering november usaf electronic principles june to august usaf telephone systems apprentice course september to december usaf aircrew egress systems apprentice course numerous certificates for web based training on lan fundamentals routers topologies cisco networking etc interests while stationed in south carolina performed three years of volunteer electrical work for habitat for humanity while doing this work i learned the fundamentals of wiring a house for electric cable and telephone skills budget cabling cisco hardware client documentation electrician feasibility studies funds information technology inspector lan materials access network networking networks personnel telephone systems printers processes project management quality assurance routers system design technical assistance technician telecommunications troubleshoot troubleshooting upgrades video wiring additional information awards superior performer nd quarter usaf achievement medal june humanitarian service medal january crs maintenance professional of the year airman of the quarter may airman of the month march airman of the month february other information while stationed in south carolina performed three years of volunteer electrical work for habitat for humanity while doing this work i learned the fundamentals of wiring a house for electric cable and telephone,11.0,information technology specialist g experience current information technology specialist g company name city state information technology specialist supervison project management circuit management licensed electrician alarm management alarm technician training supply quality assurance kevin l trostle dsn comm manage assigned communication environment privileged access network level wing geographically separated unit gsu tenant plan coordinate install continuously analyze system design hardware software develop recommend install solution upgrade ensure availability integrity efficiency reliability component assigned system ensure performed work captured remedy ticketing system manage telecommunication nipr network wing gsu tenant unit continually plan install analyze new hardware software process ensure network reliable efficient serve focal point ensuring functionality operability assigned data system function voice wireless system support mission requirement optimize analyze manage direct installation new hardware software introduced environment ensure compatibility existing architecture reliability functionality relation organization business requirement oversee initiate corrective preventative measure rectify immediate problem prevent future occurrence cfp troubleshoot diagnose system failure isolate source problem provide customer technical assistance support user provide management information necessary address difficult complex problem review purchase request sow ensuring documentation sufficient justify enhancement keep system current work cfp customer resolve integration configuration related issue ensure upgrade base infrastructure identified assist customer developing submitting recommendation equipment fund assist personnel planning developing new additional infrastructure architecture capability coordinate effort system customer support personnel commercial vendor identify resolve system anomaly conduct feasibility study identify analyze system failure analyzes data determine trend exist forecast need future replacement modification system hardware software budget constraint dictate evaluates alternative mean satisfying user requirement provides management technically feasible cost efficient approach meet changing need keep abreast change technology assist management preparing future enhancement current cyber transport client system workcenter supervisor company name city state kevin l trostle dsn comm manage cyber transport client system work center personnel set adjust work priority evaluate counsel subordinate document training personnel using computer based training system tba sustain operate system effective troubleshooting repair pmi system performance testing analysis system include network infrastructure equipment cabling voice system video system small computer printer maintain close working relationship communication focal point production requirement remedy ticket f ejection system technician company name city state ronald buckman comm troubleshot removed tested inspected repaired modified installed explosive non explosive component assembly ejection system performed preventative maintenance ninety different electronically fired explosive device ensuring proper wiring termination foreign object damage monitor briefed wing commander monthly finding ran entire supply system ensuring part supply readily available hazardous material monitor explosive inspector ensured proper grounding point present shop prevent electrostatic discharge explosive component section workgroup manager charge maintaining computer ensured needed software installed shop computer security monitor trained supervised personnel quality assurance assessor education training jun h diploma general study brockport high school city state general study may b degree electrical engineering university tn city state electrical engineering november usaf electronic principle june august usaf telephone system apprentice course september december usaf aircrew egress system apprentice course numerous certificate web based training lan fundamental router topology cisco networking etc interest stationed south carolina performed three year volunteer electrical work habitat humanity work learned fundamental wiring house electric cable telephone skill budget cabling cisco hardware client documentation electrician feasibility study fund information technology inspector lan material access network networking network personnel telephone system printer process project management quality assurance router system design technical assistance technician telecommunication troubleshoot troubleshooting upgrade video wiring additional information award superior performer nd quarter usaf achievement medal june humanitarian service medal january cr maintenance professional year airman quarter may airman month march airman month february information stationed south carolina performed three year volunteer electrical work habitat humanity work learned fundamental wiring house electric cable telephone
information technology supervisor summary seeking a position as an information technology specialist over years of information technology experience in the u s army including over year of supervisory experience trained personnel in the set up of it equipment ensuring all equipment is properly connected and functioning regularly troubleshoot and install various it equipment and systems accountable for the maintenance and inventory of over million worth of it and other communications equipment with zero losses or damages possess a security and microsoft certification and a secret security clearance highlights excellent communication techniques manufacturing systems integration multidisciplinary exposure design instruction creation project management complex problem solver advanced critical thinking sharepoint microsoft excel project and visio accomplishments army achievement medal for impacting the communications network and overall success of key resolve in yong san korea air force achievement medal for supporting operation iraqi freedom and performing as an outstanding senior controller certificate of achievement for outstanding support as a member of the tiger team during the windows migration good conduct medal for exemplary behavior efficiency and fidelity in active federal military service experience information technology supervisor to company name city state supervise up to personnel at one time delegating tasks conducting performance evaluations and providing corrective counseling as necessary train personnel in the set up and proper use of it related equipment while adhering to all policies and procedures responsible for the inventory of over million worth of network communications equipment tasked by president of the united states to act as supervisor and maintain signal communications for fort bragg army base information technology technician to company name city state maintained communications equipment in order to effectively relay confidential and secret information utilized electronic test equipment to troubleshoot malfunctioning communications equipment and complete repairs as necessary regularly set up and added computer systems to a communication network installing operation systems accessing stored programs and utilizing ip addresses received training in lan wan protocols radiology technologist to company name city state routinely performed radiological examinations in a medical clinic competent and experienced in the set up and adjustment of medical devices or equipment regularly provided customer assistance ensuring all patients received timely and accurate care accountable for the accurate documentation via electronic database and file system ensuring all confidentiality was maintained command post controller to company name city state provided command control communications and information support throughout operations during peacetime emergency and disaster situations received and relayed instructions and records submitting manual and automated data products disseminated time sensitive critical information to senior leaders and support agencies education certification windows microsoft fort bragg nc certification security comptia yong san korea distinguished graduate certificate information technology network communications course u s army city state certificate it network and cisco routing it field services branch city state associate of science radiography northwest florida state college city state radiography certificate it tech prep trumbull career and technical center state diploma warren g harding city state skills army cisco counseling customer assistance database documentation information technology inventory ip lan windows network personnel policies protocols repairs routing san supervisor test equipment troubleshoot wan,Software Developer,information technology supervisor summary seeking a position as an information technology specialist over years of information technology experience in the u s army including over year of supervisory experience trained personnel in the set up of it equipment ensuring all equipment is properly connected and functioning regularly troubleshoot and install various it equipment and systems accountable for the maintenance and inventory of over million worth of it and other communications equipment with zero losses or damages possess a security and microsoft certification and a secret security clearance highlights excellent communication techniques manufacturing systems integration multidisciplinary exposure design instruction creation project management complex problem solver advanced critical thinking sharepoint microsoft excel project and visio accomplishments army achievement medal for impacting the communications network and overall success of key resolve in yong san korea air force achievement medal for supporting operation iraqi freedom and performing as an outstanding senior controller certificate of achievement for outstanding support as a member of the tiger team during the windows migration good conduct medal for exemplary behavior efficiency and fidelity in active federal military service experience information technology supervisor to company name city state supervise up to personnel at one time delegating tasks conducting performance evaluations and providing corrective counseling as necessary train personnel in the set up and proper use of it related equipment while adhering to all policies and procedures responsible for the inventory of over million worth of network communications equipment tasked by president of the united states to act as supervisor and maintain signal communications for fort bragg army base information technology technician to company name city state maintained communications equipment in order to effectively relay confidential and secret information utilized electronic test equipment to troubleshoot malfunctioning communications equipment and complete repairs as necessary regularly set up and added computer systems to a communication network installing operation systems accessing stored programs and utilizing ip addresses received training in lan wan protocols radiology technologist to company name city state routinely performed radiological examinations in a medical clinic competent and experienced in the set up and adjustment of medical devices or equipment regularly provided customer assistance ensuring all patients received timely and accurate care accountable for the accurate documentation via electronic database and file system ensuring all confidentiality was maintained command post controller to company name city state provided command control communications and information support throughout operations during peacetime emergency and disaster situations received and relayed instructions and records submitting manual and automated data products disseminated time sensitive critical information to senior leaders and support agencies education certification windows microsoft fort bragg nc certification security comptia yong san korea distinguished graduate certificate information technology network communications course u s army city state certificate it network and cisco routing it field services branch city state associate of science radiography northwest florida state college city state radiography certificate it tech prep trumbull career and technical center state diploma warren g harding city state skills army cisco counseling customer assistance database documentation information technology inventory ip lan windows network personnel policies protocols repairs routing san supervisor test equipment troubleshoot wan,5.0,information technology supervisor summary seeking position information technology specialist year information technology experience u army including year supervisory experience trained personnel set equipment ensuring equipment properly connected functioning regularly troubleshoot install various equipment system accountable maintenance inventory million worth communication equipment zero loss damage possess security microsoft certification secret security clearance highlight excellent communication technique manufacturing system integration multidisciplinary exposure design instruction creation project management complex problem solver advanced critical thinking sharepoint microsoft excel project visio accomplishment army achievement medal impacting communication network overall success key resolve yong san korea air force achievement medal supporting operation iraqi freedom performing outstanding senior controller certificate achievement outstanding support member tiger team window migration good conduct medal exemplary behavior efficiency fidelity active federal military service experience information technology supervisor company name city state supervise personnel one time delegating task conducting performance evaluation providing corrective counseling necessary train personnel set proper use related equipment adhering policy procedure responsible inventory million worth network communication equipment tasked president united state act supervisor maintain signal communication fort bragg army base information technology technician company name city state maintained communication equipment order effectively relay confidential secret information utilized electronic test equipment troubleshoot malfunctioning communication equipment complete repair necessary regularly set added computer system communication network installing operation system accessing stored program utilizing ip address received training lan wan protocol radiology technologist company name city state routinely performed radiological examination medical clinic competent experienced set adjustment medical device equipment regularly provided customer assistance ensuring patient received timely accurate care accountable accurate documentation via electronic database file system ensuring confidentiality maintained command post controller company name city state provided command control communication information support throughout operation peacetime emergency disaster situation received relayed instruction record submitting manual automated data product disseminated time sensitive critical information senior leader support agency education certification window microsoft fort bragg nc certification security comptia yong san korea distinguished graduate certificate information technology network communication course u army city state certificate network cisco routing field service branch city state associate science radiography northwest florida state college city state radiography certificate tech prep trumbull career technical center state diploma warren g harding city state skill army cisco counseling customer assistance database documentation information technology inventory ip lan window network personnel policy protocol repair routing san supervisor test equipment troubleshoot wan
information technology instructor summary seventeen years experience in the information technology field seven years experience in curriculum design and computer based training development group and project management experience for over twelve years advanced problem solving skills and expertise advanced customer service training and experience curriculum data analysis other curriculum design advanced data analysis student counseling learning analysis market analysis customer service training advanced planning training success evaluation team building articulation and development quantitative project analysis project management implementation qualitative project analysis advanced conflict resolution evaluation advanced user experience market driven planning expertise computer based training design data analysis highlights media design productivity other photoshop microsoft network management premier word novell console illustrator excel microsoft networking indesign powerpoint cable wiring standards flash project machine hardware dreamweaver outlook windows os installation fireworks ilife repair soundbooth pages mac os installation repair quarkxpress numbers virtualization camtasia keynote parallells html coding imovie vmware desktop fusion php database connection iphoto course management software experience information technology instructor jan to current company name city state manage student learning needs create curriculum for it program manage two part time instructors teach three classes of twenty two students each class per day manage open entry open exit curriculum for all training in the program verify training outcome reports to maintain coe standards data metric analysis of student progress throughout the course answer questions of potential students and parents review and update training standards as needed new curriculum development according to market requirements customer service training tailored towards it students partner with fellow instructors to provide cross training and student interaction work with student services to assure student success counsel students on learning methods and methods for improvement help desk manager campus d jan to jan company name city state manage incoming troubleshooting calls from four state agencies assisted help desk staff members in resolving customer requests with first call resolution create and specify computer standards for the utah dept of health trained fourteen help desk staff members on help desk phone client installation and usage software management for dept of health manage new user creation procedure for state departments of health natural resources created new user training documentation for thirty help desk staff members in the state of utah provide remote control support for customers throughout the state customer friendliness reported on several occasions to management staff commended for ability to teach customer how to utilize their technology more effectively media designer jan to jan company name city state prepare training curriculum for preparedness trainings designed eighteen computer based training courses for the department of health s management staff training over one hundred managers providing significant cost savings coordinated information technology needs for fifty preparedness staff members designed cover art and the multimedia presentations to give trainees after sessions prepared over one thousand take home packets for various trainings served as technical lead staff member for the utah department of health s training and education center technical support specialist jan to jan company name city state provided advanced level technical support for department staff in computer repair and service inventory control for department of health hardware created technology standards for division of health systems improvement served on advisory committee for mobile device policy creation updated department travel system from paper to online education masters of education learning technology doctorate of education higher education ed d concordia university m ed western governor s university learning technology bachelor of science information technology management information technology management b s western governor s university associate of applied science multimedia technologies multimedia technologies a a s utah valley university skills photoshop premier art cable hardware computer repair curriculum development client customer service training database department of health documentation dreamweaver fireworks flash help desk html coding illustrator indesign information technology inventory control mac os market excel microsoft networking outlook powerpoint windows os word multimedia presentations natural network management novell php progress quarkxpress staff training technical support user training phone troubleshooting wiring,Software Developer,information technology instructor summary seventeen years experience in the information technology field seven years experience in curriculum design and computer based training development group and project management experience for over twelve years advanced problem solving skills and expertise advanced customer service training and experience curriculum data analysis other curriculum design advanced data analysis student counseling learning analysis market analysis customer service training advanced planning training success evaluation team building articulation and development quantitative project analysis project management implementation qualitative project analysis advanced conflict resolution evaluation advanced user experience market driven planning expertise computer based training design data analysis highlights media design productivity other photoshop microsoft network management premier word novell console illustrator excel microsoft networking indesign powerpoint cable wiring standards flash project machine hardware dreamweaver outlook windows os installation fireworks ilife repair soundbooth pages mac os installation repair quarkxpress numbers virtualization camtasia keynote parallells html coding imovie vmware desktop fusion php database connection iphoto course management software experience information technology instructor jan to current company name city state manage student learning needs create curriculum for it program manage two part time instructors teach three classes of twenty two students each class per day manage open entry open exit curriculum for all training in the program verify training outcome reports to maintain coe standards data metric analysis of student progress throughout the course answer questions of potential students and parents review and update training standards as needed new curriculum development according to market requirements customer service training tailored towards it students partner with fellow instructors to provide cross training and student interaction work with student services to assure student success counsel students on learning methods and methods for improvement help desk manager campus d jan to jan company name city state manage incoming troubleshooting calls from four state agencies assisted help desk staff members in resolving customer requests with first call resolution create and specify computer standards for the utah dept of health trained fourteen help desk staff members on help desk phone client installation and usage software management for dept of health manage new user creation procedure for state departments of health natural resources created new user training documentation for thirty help desk staff members in the state of utah provide remote control support for customers throughout the state customer friendliness reported on several occasions to management staff commended for ability to teach customer how to utilize their technology more effectively media designer jan to jan company name city state prepare training curriculum for preparedness trainings designed eighteen computer based training courses for the department of health s management staff training over one hundred managers providing significant cost savings coordinated information technology needs for fifty preparedness staff members designed cover art and the multimedia presentations to give trainees after sessions prepared over one thousand take home packets for various trainings served as technical lead staff member for the utah department of health s training and education center technical support specialist jan to jan company name city state provided advanced level technical support for department staff in computer repair and service inventory control for department of health hardware created technology standards for division of health systems improvement served on advisory committee for mobile device policy creation updated department travel system from paper to online education masters of education learning technology doctorate of education higher education ed d concordia university m ed western governor s university learning technology bachelor of science information technology management information technology management b s western governor s university associate of applied science multimedia technologies multimedia technologies a a s utah valley university skills photoshop premier art cable hardware computer repair curriculum development client customer service training database department of health documentation dreamweaver fireworks flash help desk html coding illustrator indesign information technology inventory control mac os market excel microsoft networking outlook powerpoint windows os word multimedia presentations natural network management novell php progress quarkxpress staff training technical support user training phone troubleshooting wiring,0.0,information technology instructor summary seventeen year experience information technology field seven year experience curriculum design computer based training development group project management experience twelve year advanced problem solving skill expertise advanced customer service training experience curriculum data analysis curriculum design advanced data analysis student counseling learning analysis market analysis customer service training advanced planning training success evaluation team building articulation development quantitative project analysis project management implementation qualitative project analysis advanced conflict resolution evaluation advanced user experience market driven planning expertise computer based training design data analysis highlight medium design productivity photoshop microsoft network management premier word novell console illustrator excel microsoft networking indesign powerpoint cable wiring standard flash project machine hardware dreamweaver outlook window o installation firework ilife repair soundbooth page mac o installation repair quarkxpress number virtualization camtasia keynote parallells html coding imovie vmware desktop fusion php database connection iphoto course management software experience information technology instructor jan current company name city state manage student learning need create curriculum program manage two part time instructor teach three class twenty two student class per day manage open entry open exit curriculum training program verify training outcome report maintain coe standard data metric analysis student progress throughout course answer question potential student parent review update training standard needed new curriculum development according market requirement customer service training tailored towards student partner fellow instructor provide cross training student interaction work student service assure student success counsel student learning method method improvement help desk manager campus jan jan company name city state manage incoming troubleshooting call four state agency assisted help desk staff member resolving customer request first call resolution create specify computer standard utah dept health trained fourteen help desk staff member help desk phone client installation usage software management dept health manage new user creation procedure state department health natural resource created new user training documentation thirty help desk staff member state utah provide remote control support customer throughout state customer friendliness reported several occasion management staff commended ability teach customer utilize technology effectively medium designer jan jan company name city state prepare training curriculum preparedness training designed eighteen computer based training course department health management staff training one hundred manager providing significant cost saving coordinated information technology need fifty preparedness staff member designed cover art multimedia presentation give trainee session prepared one thousand take home packet various training served technical lead staff member utah department health training education center technical support specialist jan jan company name city state provided advanced level technical support department staff computer repair service inventory control department health hardware created technology standard division health system improvement served advisory committee mobile device policy creation updated department travel system paper online education master education learning technology doctorate education higher education ed concordia university ed western governor university learning technology bachelor science information technology management information technology management b western governor university associate applied science multimedia technology multimedia technology utah valley university skill photoshop premier art cable hardware computer repair curriculum development client customer service training database department health documentation dreamweaver firework flash help desk html coding illustrator indesign information technology inventory control mac o market excel microsoft networking outlook powerpoint window o word multimedia presentation natural network management novell php progress quarkxpress staff training technical support user training phone troubleshooting wiring
